Reference/SKU,Product Name,Stock Status
BK7V5AT#ABM,HP 240RG9 i5-1334U 14 8GB/SSD512,Producto Disponible
C85VLLA#ABM,HP ProDesk 4 SFF G1i U5225 /16GB/512 PC/Win 11 Pro,Producto Disponible
9LM8LT#ABM,Portatil HP 240G10 i5-1334U 14 8GB/512 PC,Producto Disponible
X1504VA-BQ3904W,Portátil ASUS Vivobook 15 X1504VA-BQ3904W Intel® Core™ i3-1315U,Producto Disponible
D20YVLA#ABM,HP ProDesk 4 SFF G1i U7265/16GB/512GB /Win 11 Pro/VproEnt/1-1-1,Producto Disponible
B1403CVA-S65014X,ASUS EXPERTBOOK B1403CVA-S65014X INTEL I5-1335U,Producto Disponible
